Produkt,Kcal,Bia³ko,T³uszcz,Wêglowodany,B³onnik,Sód,Potas,Wapñ,¯elazo,Magnez,Witamina A,Witamina E,Witamina C
Salceson czarny,339,12.6,32.0,0.5,0.1,803,139,18,7.5,7,35,0.20,0
Salceson w³oski,321,14.6,29.3,0,0,815,143,40,2.2,8,0,0.20,0
Baton szynkowy z indyka,144,14.9,9.3,0.1,0,826,304,8,0.9,30,21,0.15,2.0
Kie³basa mazurska z indyka,130,14.8,7.7,0.1,0,603,295,5,1.0,26,16,0.12,0
Kie³basa szynkowa z indyka,89,17.2,2.0,0.2,0,900,392,6,0.7,35,14,0.02,0.1
Polêdwica z indyka,106,15.8,4.6,0.1,0,763,362,3,0.5,33,19,0.13,1.9
Szynka z indyka,85,17.1,1.6,0.1,0,612,387,3,0.6,32,13,0.02,0
Baton z kurczaka,146,16.7,8.6,0.1,0,753,283,43,1.1,29,9,0.26,0
Kie³basa ja³owcowa z kurczaka,238,19.0,17.9,0.1,0,630,342,40,1.2,32,16,0.53,0
Kie³basa podsuszana z kurczaka,164,21.7,8.4,0,0,1039,375,39,1.2,38,18,0.31,0
Kie³basa szynkowa z kurczaka,111,16.2,5.0,0,0,725,302,10,0.8,28,17,0.25,0
Kurczak faszerowany (pieczony),201,20.5,11.9,2.8,0.1,1208,343,15,1.4,33,97,0.56,0.4
Parówki z kurczaka,261,10.8,22.4,4.2,0.1,548,141,45,1.1,16,8,0.20,0
Pasztet z kurczaka pieczony,216,14.4,14.4,7.5,0.4,574,225,94,3.3,23,1362,0.21,3.6
Pasztet podlaski z kurczaka,230,6.7,21.1,3.6,0.2,610,108,42,1.5,13,671,3.26,1.7
Polêdwica z piersi kurczaka,94,20.4,1.2,0,0,705,366,7,0.5,36,6,0.27,0
Szynka z piersi kurczaka,98,21.2,1.2,0.2,0,933,380,8,0.5,39,6,0.28,0
Szynka z udŸca kurczaka,118,17.2,5.3,0,0,769,321,11,0.8,30,18,0.26,0
Dorsz œwie¿y- filety bez skóry,70,16.5,0.3,0,0,89,364,7,0.6,29,6,0.44,1.0
Fl¹dra œwie¿a,84,16.5,1.8,0,0,92,332,27,0.4,24,9,0.36,0
Halibut bia³y- œwie¿y,99,20.1,1.9,0,0,67,446,14,0.5,28,32,0.85,0
Karp œwie¿y,111,18.0,4.2,0,0,30,387,10,0.7,12,44,0.63,1.0
Mintaj œwie¿y,73,16.6,0.6,0,0,99,330,9,0.2,43,1,1.0,0
Morszczuk œwie¿y,90,17.2,2.2,0,0,100,270,41,0.5,23,10,0.4,0
Pstr¹g têczowy- œwie¿y,162,18.6,9.6,0,0,52,420,18,0.4,25,30,1.71,0
Szczupak œwie¿y,83,18.4,0.8,0,0,63,304,20,0.6,27,14,0.79,1.3
ŒledŸ œwie¿y,162,16.3,10.7,0,0,89,239,32,0.9,24,25,1.07,0
ŒledŸ solony,219,19.8,15.4,0,0,5930,240,62,1.1,39,45,2.3,0
Dorsz wêdzony,95,22.1,0.5,0,0,1170,300,20,1.0,14,4,0.2,0
£osoœ wêdzony,163,21.5,8.4,0,0,1470,330,15,0.5,30,30,1.3,0
Makrela wêdzona,223,20.7,15.5,0,0,1170,275,5,1.2,30,54,1.0,0
Pikling,217,21.8,14.3,0,0,1170,285,32,1.4,33,14,1.6,0
Wêgorz wêdzony,328,17.9,28.6,0,0,500,243,19,0.7,18,940,4.0,0
Paprykarz Szczeciñski,179,9.9,11.9,8.6,8.6,595,327,15,0.7,27,61,3.58,4.8
Sa³atka z dorsza,188,9.8,13.9,7.2,7.2,684,370,19,0.7,29,119,4.45,23.3
Sa³atka pikantna z makreli,182,10.2,13.2,6.9,6.9,621,425,25,0.9,31,144,2.96,8.3
Sardynka w oleju,223,24.1,13.9,0,0,366,388,330,2.7,46,49,2.7,0
Sardynka w pomidorach,163,17.0,9.9,1.4,1.4,350,410,250,2.9,39,66,2.3,0.8
ŒledŸ w oleju,343,19.7,29.4,0,0,238,243,86,2.3,26,28,5.6,0
ŒledŸ w pomidorach,177,13.7,12.8,1.8,1.8,321,285,83,2.5,29,83,1.12,0.8
Tuñczyk w oleju,191,27.1,9.0,0,0,515,248,12,1.2,33,152,1.94,0
Tuñczuk w wodzie,97,21.0,1.2,0,0,515,182,13,1.4,43,370,1.2,0
Baranina- ³opatka,287,15.6,25.0,0,0,66,249,9,2.3,23,56,0.60,0
Olej rzepakowy uniwersalny,892,0,100,0,0,0,0,0,0,0,0,37,0
Olej rzepakowy t³oczony na zimno,892,0,100,0,0,0,0,0,0,0,0,29,0
Olej rzepakowo-sojowy,892,0,100,0,0,0,0,0,0,0,0,20,0
Olej s³onecznikowy,892,0,100,0,0,0,0,0,0,0,0,47,0
Olej sojowy,892,0,100,0,0,0,0,0,0,0,0,13,0
Oliwa z oliwek,889,0,100,0,0,1,0,0,0,0,0,12,0
Planta,892,0,100,0,0,0,0,0,0,0,0,12,0
